address,latitude,longitude,date
173240,35.556416,139.65117,2015/6/23_17:32:40
173241,35.551113,139.65378,2015/6/23_17:32:41
173242,35.557846,139.66049,2015/6/23_17:32:42
173245,35.551346,139.6483,2015/6/23_17:32:45
173247,35.55446,139.6632,2015/6/23_17:32:47
173248,35.56017,139.6543,2015/6/23_17:32:48
173250,35.550034,139.65854,2015/6/23_17:32:50
173251,35.55424,139.64757,2015/6/23_17:32:51
17333,35.552383,139.6635,2015/6/23_17:33:3
1224,35.558735,139.66118,2015/6/25_1:22:4
1226,35.558327,139.65227,2015/6/25_1:22:6
