address,latitude,longitude,date
142411,35.55965,139.66556,2015/6/25_14:24:11
142412,35.55259,139.6477,2015/6/25_14:24:12
142413,35.561115,139.65237,2015/6/25_14:24:13
142414,35.54964,139.66121,2015/6/25_14:24:14
142416,35.55095,139.65486,2015/6/25_14:24:16
142416,35.560852,139.65874,2015/6/25_14:24:16
142417,35.553066,139.66286,2015/6/25_14:24:17
142418,35.55528,139.65215,2015/6/25_14:24:18
142419,35.561413,139.66081,2015/6/25_14:24:19
142419,35.55659,139.66193,2015/6/25_14:24:19
142420,35.558914,139.65509,2015/6/25_14:24:20
142421,35.557793,139.6512,2015/6/25_14:24:21
142422,35.551357,139.65846,2015/6/25_14:24:22
142423,35.55223,139.65373,2015/6/25_14:24:23
142424,35.55487,139.66599,2015/6/25_14:24:24
142425,35.553173,139.65761,2015/6/25_14:24:25
144016,35.549843,139.64592,2015/6/25_14:40:16
144017,35.557438,139.64693,2015/6/25_14:40:17
144018,35.5536,139.64418,2015/6/25_14:40:18
144019,35.56046,139.6485,2015/6/25_14:40:19
144521,35.550144,139.65013,2015/6/25_14:45:21
144844,35.55371,139.64938,2015/6/25_14:48:44
145920,35.556156,139.65723,2015/6/25_14:59:20
145921,35.559036,139.65967,2015/6/25_14:59:21
145923,35.549187,139.65419,2015/6/25_14:59:23
145924,35.551003,139.66321,2015/6/25_14:59:24
145925,35.556946,139.65805,2015/6/25_14:59:25
