address,latitude,longitude,date
19245,35.55386,139.6476,2015/11/4_19:2:45
1528,35.555607,139.65042,2015/11/14_15:2:8
15212,35.556618,139.65399,2015/11/14_15:2:12
15213,35.556946,139.65765,2015/11/14_15:2:13
15216,35.55837,139.64857,2015/11/14_15:2:16
15218,35.560894,139.64679,2015/11/14_15:2:18
15735,35.55367,139.65302,2015/11/14_15:7:35
151030,35.56006,139.65775,2015/11/14_15:10:30
151049,35.554077,139.65895,2015/11/14_15:10:49
15116,35.552113,139.64397,2015/11/14_15:11:6
15118,35.551468,139.64043,2015/11/14_15:11:8
151111,35.551003,139.65459,2015/11/14_15:11:11
151116,35.558342,139.64487,2015/11/14_15:11:16
151118,35.563118,139.64716,2015/11/14_15:11:18
175636,35.55386,139.66238,2015/11/20_17:56:36
175638,35.556316,139.66512,2015/11/20_17:56:38
175641,35.558628,139.65501,2015/11/20_17:56:41
111131,35.562412,139.65997,2015/11/27_11:11:31
11214,35.56716,139.64726,2015/11/27_11:21:4
112116,35.565346,139.64955,2015/11/27_11:21:16
112120,35.559174,139.64136,2015/11/27_11:21:20
112148,35.556168,139.64641,2015/11/27_11:21:48
