address,latitude,longitude,date
124534,35.556057,139.65607,2015/12/1_12:45:34
124536,35.55603,139.65248,2015/12/1_12:45:36
124537,35.55557,139.6485,2015/12/1_12:45:37
124539,35.554913,139.64464,2015/12/1_12:45:39
124541,35.5586,139.6476,2015/12/1_12:45:41
124544,35.552986,139.6493,2015/12/1_12:45:44
124546,35.55927,139.65302,2015/12/1_12:45:46
124547,35.558105,139.65569,2015/12/1_12:45:47
124550,35.56002,139.65869,2015/12/1_12:45:50
124552,35.55367,139.65445,2015/12/1_12:45:52
124557,35.558544,139.64986,2015/12/1_12:45:57
12460,35.561207,139.64734,2015/12/1_12:46:0
12461,35.56193,139.64622,2015/12/1_12:46:1
12465,35.562805,139.65103,2015/12/1_12:46:5
12467,35.56196,139.64218,2015/12/1_12:46:7
124611,35.550404,139.6546,2015/12/1_12:46:11
124614,35.555157,139.6597,2015/12/1_12:46:14
124616,35.553844,139.66246,2015/12/1_12:46:16
124622,35.549896,139.64816,2015/12/1_12:46:22
